,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3097,6/25/2019,50.07375,765220.281,66842.34,5657.936,166918.934,23919.176,9534.335,2074.43,8705.773,238995.447,61035.15,30134.87,24228.275,8358.733,78037.934
3098,6/26/2019,47.27625,792832.45,61690.735,4659.541,166647.678,16054.995,8702.555,3232.187,9017.731,206526.129,142821.049,30948.56,25489.325,9615.26,76489.65
3099,6/27/2019,49.53083333,807875.011,57634.725,1614.305,156412.587,14846.027,9023.966,3193.544,8836.557,215968.911,170903.39,29578.437,26983.455,10359.999,76832.246
3100,6/28/2019,51.94083333,821152.543,67458.405,1871.569,161418.022,14885.74,9074.998,2665.575,7929.877,261203.055,87024.636,32128.04,25642.001,10633.775,79735.801
3101,6/29/2019,49.26416667,751724.535,51350.233,1034.063,166231.8,16197.142,8912.126,2067.795,6124.504,229270.916,67289.808,32554.686,26550.915,10691.712,76394.922
3102,6/30/2019,46.70375,696474.637,50227.272,861.918,166195.296,19544.625,7305.203,1701.615,4984.107,173420,94417.662,32601.284,28283.981,10669.265,75438.088
3103,7/1/2019,48.32208333,805062.314,61219.397,667.241,152202.059,28778.099,8095.896,2593.08,5171.575,226695.403,142019.983,31127.994,25960.331,10548.296,79600.832
3104,7/2/2019,48.8075,817750.686,55884.912,1120.056,154124.8,31490.554,7720.42,2144.76,4791.459,240361.067,137355.245,31938.235,19937.064,10909.022,80354.025
3105,7/3/2019,50.95208333,814766.368,58365.793,1047.47,166326.396,33013.454,7829.372,2162.891,4190.623,245207.187,111421.865,32884.362,27034.795,10845.638,79278.953
3106,7/4/2019,53.06458333,813934.525,58719.565,646.019,166623.435,38404.022,8296.77,3397.437,4430.153,246252.38,102425.161,30764.561,20032.886,11102.441,79104.32
3107,7/5/2019,56.02375,816024.974,74470.48,-19.005,165839.694,39855.738,8790.044,3140.038,4990.66,253000.956,62596.466,34282.517,22028.533,11288.331,80732.898
3108,7/6/2019,51.7825,738401.275,47373.596,417.679,165392.699,17127.09,8620.141,2441.28,4274.554,235033.113,70511.292,29598.815,23477.54,11339.796,77395.487
3109,7/7/2019,49.62291667,686379.684,41384.762,-23.571,165628.945,16489.209,7549.423,2488.13,3968.604,196100.81,96022.826,29852.382,25073.651,11137.787,75263.247
3110,7/8/2019,51.15208333,783297.789,42322.119,1100.663,166306.403,22582.682,8866.781,3189.701,4267.153,225045.134,145295.544,26838.174,26508.091,10967.7,79106.228
3111,7/9/2019,52.47875,782095.233,45071.027,60.957,167398.701,26298.976,8202.785,2845.534,4438.905,236290.235,112680.535,31698.179,25738.276,11052.873,79529.395
3112,7/10/2019,51.4225,792718.173,50529.696,1548.475,167648.894,26224.143,8982.412,3920.977,5326.55,254761.642,75311.437,34311.295,4967.54,11110.848,78906.98
3113,7/11/2019,53.99541667,821250.349,63657.342,4369.858,166389.035,30064.97,9180.533,3786.034,6144.452,272544.269,56409.226,35076.195,16856.984,11316.714,78513.452
3114,7/12/2019,57.09458333,828876.825,77312.018,1540.888,164885.392,30286.286,9400.252,3468.965,5483.221,287820.91,61128.539,26849.625,24153.62,11392.792,79545.852
3115,7/13/2019,51.31125,739065.225,42480.454,463.503,164721.487,17865.366,8427.39,2370.975,4451.286,215631.989,129316.196,29545.479,26266.962,11122.358,75335.122
3116,7/14/2019,48.89125,667289.338,34916.936,1153.138,166570.892,13294.779,7458.422,2096.004,3986.336,167893.545,131834.596,33912.748,26485.98,10910.9,74187.363
3117,7/15/2019,52.36333333,796026.561,51546.359,700.487,166592.213,17282.891,8717.829,2248.349,3635.05,229435.23,137558.144,34786.676,23501.474,10556.637,78707.262
3118,7/16/2019,51.50166667,810257.077,57850.291,160.983,166223.709,22485.048,8401.26,2488.371,3830.182,234586.06,123472.386,33819.878,26383.416,10835.221,79970.911
3119,7/17/2019,52.67458333,805414.836,55617.077,1314.181,166399.718,24296.946,8233.004,3010.28,3688.647,235113.022,113368.157,31277.588,27606.991,10776.466,81607.718
3120,7/18/2019,53.9225,808118.682,52367.134,694.795,165940.578,25754.662,8283.029,2736.703,4659.322,259201.859,86894.748,35263.019,21081.001,10995.532,82349.683
3121,7/19/2019,52.46375,818254.951,54206.313,900.69,165793.998,25229.758,8829.482,2820.318,4854.79,264361.035,94889.271,34818.426,19596.536,10835.899,82747.63
3122,7/20/2019,50.59375,744167.851,44489.6,985.042,165634.275,23916.833,8240.112,2192.805,4270.614,238165.592,101200.666,33677.743,20507.425,10315.076,79613.868
