Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Residuos no renovables
11-2022,5206.415,19287.752,22085.58,941559.403,505795.96,358691.996,49657.871,132610.238,232796.051,2269860.5020000003,2169.236
12-2022,16226.958,36837.308,159821.899,885899.151,547728.811,288525.013,32448.776,105359.481,190830.019,2265141.1909999996,1463.775
01-2023,17197.71,36515.108,39450.245,423722.302,552635.226,428826.39,60160.005,97397.275,277495.303,1934735.188,1335.624
02-2023,9568.868,14346.657,80073.779,950765.083,819123.227,471068.136,66149.932,138232.405,286101.84,2837164.9829999995,1735.056
03-2023,13255.709,42783.39,21710.064,672227.131,494256.035,727310.057,184221.103,121121.687,316423.053,2594784.539,1476.31
04-2023,23713.345,52227.286,-2085.1,527023.464,578915.073,849080.459,262570.824,81577.13,289758.458,2664199.0579999997,1418.119
05-2023,17662.546,20041.141,-780.822,599072.184,400327.223,832927.106,217420.096,105046.898,279927.788,2473338.9480000003,1694.788
06-2023,19766.898,22400.773,16578.172,990405.154,523078.721,887685.351,246753.391,106738.553,270202.694,3085442.9869999997,1833.28
07-2023,24894.549,23668.58,3854.484,1207738.92,351376.282,1015636.98,334094.611,109810.667,273675.37,3346356.033,1605.59
08-2023,18168.271,29539.325,-1833.97,1291603.901,502315.724,945688.864,312974.37,121307.302,295653.372,3517235.783,1818.624
09-2023,12105.138,27616.333,17779.373,1110243.193,504491.964,765729.208,187382.859,90231.158,315716.682,3033079.486,1783.578
10-2023,7236.192,35179.941,68036.136,866480.71,722336.151,600328.954,110477.164,72692.127,254109.133,2738413.8529999997,1537.345
11-2023,5121.506,43792.267,-1566.475,433591.346,434171.639,491192.291,66125.457,81946.855,214054.747,1771663.988,3234.355
12-2023,6191.539,39237.953,-1291.261,597140.657,398720.704,454883.742,49901.77,78124.422,293949.632,1918648.344,1789.186
