Fecha,Hidráulica,Turbinación bombeo,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Generación total,Residuos no renovables,Residuos renovables
07-2020,10035.132,22516.14,1879.501,268.473,7061.127,50249.785,99085.90899999999,3537.8755,3537.8755
08-2020,5798.843,21396.299,4528.121,219.533,7036.509,76710.22,122605.86799999999,3458.1715,3458.1715
09-2020,5940.097,27637.731,4524.09,219.283,6931.219,80548.416,132617.766,3408.465,3408.465
10-2020,19866.496,42625.07,8390.82,146.433,7199.104,80705.682,165807.285,3436.84,3436.84
11-2020,11018.017,30531.02,10148.598,140.691,6458.625,69897.716,134944.99899999998,3375.166,3375.166
12-2020,24967.619,37186.74,9874.142,74.397,6753.154,77017.857,162747.74,3436.9155,3436.9155
01-2021,33604.108,42793.93,4765.84,91.306,6093.836,79260.586,172799.31199999998,3094.853,3094.853
02-2021,32883.652,59926.119,9074.002,113.972,6406.274,58491.854,169209.55100000004,1156.839,1156.839
03-2021,24006.9,50050.161,7451.76,177.811,4349.544,78383.997,171184.32900000003,3382.078,3382.078
04-2021,18199.794,23902.61,5379.714,222.155,6798.794,79473.255,140707.51600000003,3365.597,3365.597
05-2021,17597.255,30279.46,4782.832,244.402,6706.936,76623.303,143171.433,3468.6225,3468.6225
06-2021,13223.311,11012.82,3419.318,213.546,6870.407,70074.456,111508.568,3347.355,3347.355
07-2021,10065.259,18130.479,2328.612,232.574,7134.66,77431.409,121996.73599999999,3336.8715,3336.8715
08-2021,2833.783,28671.461,1485.593,233.561,6419.98,74023.026,120525.21999999999,3428.908,3428.908
09-2021,5357.63,23804.429,4775.46,186.219,6471.388,73855.878,119960.62299999999,2754.8095,2754.8095
10-2021,3268.006,35643.153,5284.029,186.187,7027.933,40599.61,98596.75900000002,3293.9205,3293.9205
11-2021,20693.787,30964.719,7213.544,88.132,6898.387,70608.157,142009.548,2771.411,2771.411
12-2021,45093.278,34046.611,12319.492,102.61,6829.31,76965.696,181583.68399999995,3113.3435,3113.3435
01-2022,32575.838,29555.14,6988.003,201.7,5185.987,75944.713,157196.425,3372.522,3372.522
02-2022,9669.908,30022.048,4720.671,303.565,4116.052,71988.355,127104.26400000001,3141.8325,3141.8325
03-2022,26724.894,32730.65,12636.773,307.766,389.389,72360.442,152143.45,3496.768,3496.768
04-2022,31735.838,42907.019,6408.696,429.94,1001.752,60969.406,150196.55800000002,3371.9535,3371.9535
05-2022,24540.616,41460.631,4419.569,524.895,7033.393,75077.505,159922.05800000002,3432.7245,3432.7245
06-2022,10535.051,40988.67,2089.309,477.738,6279.587,59817.151,126808.215,3310.3545,3310.3545
07-2022,5556.471,40132.16,1673.752,583.065,6996.155,11408.163,73204.74300000002,3427.4885,3427.4885
08-2022,4111.963,52036.029,2515.696,496.982,6978.53,4286.517,77150.008,3362.1455,3362.1455
09-2022,3272.709,45621.491,6176.781,416.198,6804.124,20784.983,89714.90899999999,3319.3115,3319.3115
10-2022,3851.486,52287.91,10107.081,323.16,7020.76,57645.194,137681.05100000004,3222.73,3222.73
11-2022,8309.807,48465.627,9985.111,231.527,6084.674,46098.825,121716.82,1270.6245,1270.6245
12-2022,11254.134,47456.77,11058.928,150.639,7067.748,28004.551,111963.46599999999,3485.348,3485.348
01-2023,20331.236,58796.42,5901.238,201.162,6457.788,18219.822,116718.201,3405.2675,3405.2675
02-2023,25980.896,31473.92,4222.24,321.88,6250.748,67967.652,142578.169,3180.4165,3180.4165
03-2023,30848.584,54219.05,9095.827,423.308,4119.632,71553.113,177295.272,3517.879,3517.879
04-2023,10716.796,65127.52,3759.783,507.469,6536.202,48006.934,141489.04,3417.168,3417.168
05-2023,14361.599,60254.25,5414.059,530.666,7037.882,57746.998,152411.11299999998,3532.8295,3532.8295
06-2023,15841.018,39854.929,2973.188,493.15,6716.654,67118.909,139779.33000000002,3390.741,3390.741
07-2023,10479.851,44516.34,2135.73,624.03,7054.695,35997.468,107674.19399999999,3433.04,3433.04
08-2023,3676.149,53678.27,3924.877,545.0,7039.047,25849.181,101457.233,3372.3545,3372.3545
09-2023,8333.351,46218.71,6180.096,502.534,6780.288,21033.463,95567.06499999999,3259.3115,3259.3115
10-2023,6571.826,55131.889,8196.471,292.468,6918.053,58859.997,142914.76700000002,3472.0315,3472.0315
11-2023,13068.272,59854.331,8371.91,232.963,6263.522,38273.664,132688.75600000002,3312.047,3312.047
12-2023,18229.247,61526.02,8958.932,241.773,6909.192,45964.854,148714.36599999998,3442.174,3442.174
