Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
04-2019,270286.976,8928.449,1711448.886,0.0,428561.394,279090.639,35191.025,1477.3,12866.424,457167.984,10944.8835,10447.6145,3226411.575
05-2019,438949.715,9276.777,1511516.734,0.0,894388.78,279622.0,45676.235,843.782,13862.238,471897.257,12823.3635,12361.7185,3691218.6
06-2019,392444.259,3121.326,1998116.517,0.0,847859.291,247086.79,46375.775,4624.362,12126.052,441520.071,13297.9875,12849.0695,4019421.5000000005
07-2019,276233.133,2779.906,2166771.464,0.0,1165908.414,187509.829,45638.895,5060.603,12711.861,431274.278,11869.658,11536.793,4317294.834
08-2019,240480.068,2552.563,2130627.485,0.0,1027329.55,149956.649,43242.737,4279.313,10855.451,435027.441,12501.732,12342.151,4069195.1400000006
09-2019,205774.283,3548.182,2137960.872,0.0,728184.743,138090.687,36455.069,3149.447,12213.085,428899.309,12854.344,12119.707,3719249.728
10-2019,213406.628,5045.153,2232626.46,0.0,671223.566,195757.836,28034.752,355.775,12831.909,432616.941,12011.6595,11017.9505,3814928.63
11-2019,225881.229,10792.26,1621298.269,0.0,587976.626,369782.23,21830.874,190.153,14060.319,439482.258,10617.304,9790.189,3311701.7109999997
12-2019,412861.014,27627.507,1589595.601,0.0,570325.146,302556.81,14581.572,47.08,13826.638,420540.271,12090.0665,11292.4535,3375344.1590000005
01-2020,434119.206,17582.049,2266619.444,0.0,582992.295,178517.73,16434.865,31.505,13158.289,469658.592,12329.783,11806.765,4003250.523
02-2020,406285.139,14536.458,2112266.835,0.0,390951.743,235595.27,27740.567,1114.092,13172.481,421282.414,12719.0535,11834.4105,3647498.463
03-2020,500662.199,16376.638,2242393.418,0.0,195797.633,286130.731,28960.839,1226.105,11537.489,411562.461,8480.3055,7898.5705,3711026.389
04-2020,613669.748,23083.749,1964965.272,0.0,281562.386,161111.147,33063.956,1482.45,13844.861,369995.56,7590.0725,6711.3275,3477080.529
05-2020,685757.911,14823.166,1450520.478,0.0,317413.284,186869.432,42802.705,2686.31,14437.161,371655.567,7279.785,6761.634,3101007.4329999997
06-2020,599007.761,10238.904,1917997.468,0.0,368064.159,176770.227,41820.541,6571.4,11425.319,388378.671,5654.288,4998.059,3530926.7970000007
07-2020,387663.473,8487.889,2213581.942,0.0,633896.722,172086.175,46636.543,10046.567,11850.395,431122.686,5373.375,4839.04,3925584.807
08-2020,258781.222,8030.533,2202349.705,0.0,602438.871,171917.919,41982.718,10316.168,12464.771,432913.51,11773.722,11427.857,3764396.9960000003
09-2020,269449.295,12196.219,1990935.958,0.0,555574.065,173345.412,35251.004,9085.433,11899.34,445686.473,12817.478,12196.599,3528437.276
10-2020,328697.622,11775.092,1537970.484,0.0,546365.986,310970.245,30117.976,5682.275,12274.596,461891.782,12966.7595,12337.6565,3271050.474
11-2020,328941.025,14374.579,1726282.891,0.0,503176.429,134851.803,18316.33,7080.435,12825.618,459377.95,11932.3135,11418.4185,3228577.7920000004
12-2020,322965.905,23477.841,2261015.744,0.0,285146.331,367808.354,16917.896,4573.995,12766.293,448269.337,13598.6065,12909.6685,3769449.971000001
01-2021,304809.796,22696.6,2230948.23,0.0,376805.035,393973.253,19291.117,5151.617,13330.861,480548.643,13320.864,12854.714,3873730.730000001
02-2021,281952.551,29917.778,1936562.958,0.0,174256.025,231861.484,19914.449,4460.225,12206.882,320643.617,11176.175,10500.627,3033452.771
03-2021,313921.572,21487.046,2266148.801,0.0,223948.722,221698.637,35125.996,7944.003,14986.555,421965.616,7463.388,6547.72,3541238.056
04-2021,306887.187,5560.402,1931164.27,0.0,376023.753,162255.465,33403.295,6473.49,14087.915,384335.832,12553.0205,11953.6745,3244698.3040000005
05-2021,424622.167,16318.121,1785836.493,0.0,327533.607,203431.583,43464.383,6657.92,12137.501,374360.588,14322.106,13551.725,3222236.194
