Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Generación total
04-2021,235923.132,17440.895,-9500.937,1713.502,773997.346,181407.039,4175.863,250696.272,32606.121,1497960.1699999997
05-2021,289607.81,15399.587,106859.972,-1132.467,738724.988,258720.47,4260.807,245100.181,29217.812,1579899.188
06-2021,275771.771,6180.607,229134.992,19919.22,577510.594,228310.004,3787.998,236344.085,30059.868,1377884.1469999999
07-2021,226436.584,7592.01,426970.182,6271.719,868237.682,260014.917,4691.78,243986.092,33075.465,1650306.249
08-2021,178880.721,18499.966,267833.123,-1345.669,724809.078,235912.585,4241.46,223824.311,33938.813,1418761.265
09-2021,122543.897,2922.357,483492.086,64663.551,498674.278,176600.248,4223.832,248530.951,23009.943,1141169.057
10-2021,111800.572,14327.408,333558.518,106436.384,657321.514,162376.008,4581.506,245733.525,34473.392,1337050.309
11-2021,102818.548,18457.607,273027.976,431766.033,1431317.856,112936.043,4136.553,234813.359,27148.786,2363394.7849999997
12-2021,300180.331,16400.944,203877.723,294697.716,959606.523,64895.141,3940.561,240477.36,25444.019,1905642.595
01-2022,228069.921,18868.963,339157.97,244541.514,933056.506,142241.661,4388.265,213928.864,26115.551,1811211.245
02-2022,155261.888,13283.718,149135.141,363795.421,1000502.417,147710.83,4415.547,214539.637,29186.74,1928696.198
03-2022,178212.848,16934.131,-4601.953,97269.652,1064277.926,127234.057,5495.125,232830.254,34201.031,1756455.024
04-2022,260406.525,14311.539,-6919.574,103219.764,1148854.476,274418.748,4276.64,135706.039,17683.061,1958876.7920000001
05-2022,381482.106,24050.388,-6355.59,143067.642,941266.162,362063.79,4228.056,169180.299,12840.759,2038179.202
06-2022,231982.171,7773.856,-1662.117,395631.205,684507.108,370581.568,3738.831,156506.797,11132.931,1861854.4670000002
07-2022,169921.127,17218.618,138385.264,342405.546,708484.921,393214.976,4199.793,134072.222,24930.783,1794447.986
08-2022,142520.561,34058.714,44619.09,321098.264,709830.971,345228.422,3078.285,83814.642,15234.784,1654864.643
09-2022,102443.511,15002.465,168702.708,259591.773,794163.728,277593.937,3306.435,47089.309,14217.585,1513408.7429999998
10-2022,112200.293,32377.369,284408.694,141918.903,572679.517,186013.756,4210.311,108212.271,16268.182,1173880.602
11-2022,107823.233,19693.778,225102.212,267428.165,1000839.799,132103.134,3900.821,131647.659,16272.432,1679709.0210000002
12-2022,129036.554,37653.534,121408.035,195374.779,643134.759,99299.887,3253.287,105408.051,12111.055,1225271.906
01-2023,136497.938,34741.359,0.0,22120.766,1614538.718,142217.739,3369.58,124567.228,12836.85,2090890.1780000003
02-2023,142895.795,19870.946,0.0,286337.944,647693.224,205917.849,3882.155,140743.885,12614.528,1459956.326
03-2023,195296.409,26822.458,0.0,142380.622,1156474.321,312637.44,4304.277,152373.136,20070.182,2010358.845
04-2023,181327.985,29603.894,0.0,27168.619,1006495.549,384431.185,3876.493,153079.963,15254.358,1801238.046
05-2023,171842.913,19596.821,113740.968,131065.243,1369559.75,423875.939,4282.371,175258.068,7799.516,2303280.621
06-2023,243682.71,16378.981,45713.726,294548.67,653750.217,395566.351,4627.359,187885.092,22098.18,1818537.5599999998
07-2023,185393.942,17890.413,-9303.234,281704.911,874522.203,527052.073,4405.067,158887.863,20245.287,2070101.759
08-2023,127313.17,29154.746,-8181.094,232330.713,942645.795,464009.753,2595.931,112418.01,19072.932,1929541.0500000003
09-2023,119348.441,6860.454,-8338.436,313272.112,479500.849,344481.486,2363.777,108317.212,17835.448,1391979.779
10-2023,155509.958,23877.365,18363.064,79257.379,753420.642,271857.248,2384.054,86533.105,16930.661,1389770.4120000002
11-2023,278497.96,33760.987,-1179.378,98863.238,1351292.162,207798.532,2056.017,68215.593,16574.985,2057059.4740000002
12-2023,351314.465,32493.348,-228.811,102113.273,1153643.698,181859.939,1824.401,77983.275,10726.77,1911959.169
